epoch,acc,check,loss,lr,precision,recall,val_acc,val_check,val_loss,val_precision,val_recall
0,0.7664521932601929,0.17147260904312134,0.5134595036506653,1e-04,0.3456614911556244,0.5149979591369629,0.8306361436843872,0.13073483109474182,0.5563258528709412,0.0,0.0
1,0.8504703640937805,0.19701942801475525,0.39973098039627075,1e-04,0.5395522117614746,0.4727374017238617,0.830618143081665,0.11529599130153656,0.4532591998577118,0.0,0.0
2,0.8743637204170227,0.22862645983695984,0.35064831376075745,1e-04,0.6417641639709473,0.5023404359817505,0.8292672634124756,0.11942388117313385,0.42105332016944885,0.4223155975341797,0.018741503357887268
3,0.8884946703910828,0.25813376903533936,0.31820979714393616,1e-04,0.701776385307312,0.5444703102111816,0.8428941369056702,0.16971510648727417,0.38546332716941833,0.6214689612388611,0.2065952867269516
4,0.9000084400177002,0.28622427582740784,0.2926187217235565,1e-04,0.750167965888977,0.5808969140052795,0.8542535305023193,0.2033611685037613,0.3594290614128113,0.665310800075531,0.3012082576751709
5,0.9098203182220459,0.3151860535144806,0.2699239253997803,1e-04,0.7919203042984009,0.6115582585334778,0.8688017129898071,0.24433578550815582,0.33260953426361084,0.7146850228309631,0.3966609239578247
6,0.9185133576393127,0.3458271920681,0.2484167218208313,1e-04,0.824400782585144,0.6447358131408691,0.8634954690933228,0.2836863696575165,0.34718987345695496,0.629668653011322,0.5217123627662659
7,0.926340639591217,0.37690529227256775,0.22815179824829102,1e-04,0.8511077165603638,0.6770074963569641,0.8655725121498108,0.27629393339157104,0.34410929679870605,0.6575055122375488,0.4653725326061249
8,0.9326221942901611,0.40553224086761475,0.2106841802597046,1e-04,0.8708701729774475,0.7036741971969604,0.8695991635322571,0.2902495265007019,0.33705347776412964,0.6783987283706665,0.470520555973053
9,0.9356520175933838,0.4220294654369354,0.20094284415245056,1e-05,0.8815832734107971,0.7148960828781128,0.8847941756248474,0.3169110119342804,0.3013322949409485,0.7384721040725708,0.5241025686264038
10,0.9422430396080017,0.43977561593055725,0.18849363923072815,1e-05,0.8982353806495667,0.7471575140953064,0.8844355940818787,0.325216144323349,0.3045606315135956,0.7206685543060303,0.5532428026199341
11,0.9444201588630676,0.4476456940174103,0.18404674530029297,1e-05,0.9023308157920837,0.7592944502830505,0.8838512897491455,0.3288370966911316,0.3068913519382477,0.7127442955970764,0.5632901787757874
12,0.9461250305175781,0.45431655645370483,0.18039506673812866,1e-05,0.9059160351753235,0.7682766914367676,0.8833850026130676,0.3301510214805603,0.30849647521972656,0.7099815011024475,0.5640875101089478
13,0.948337197303772,0.46075108647346497,0.17618827521800995,1e-06,0.9141793847084045,0.7754960060119629,0.8846737742424011,0.32899099588394165,0.30596333742141724,0.7206166386604309,0.5559096336364746
14,0.9487947821617126,0.4621310532093048,0.17544196546077728,1e-06,0.9150344133377075,0.7780008912086487,0.8849114775657654,0.3298182487487793,0.3056125044822693,0.7212996482849121,0.5569538474082947
15,0.9490255117416382,0.46313440799713135,0.17496293783187866,1e-06,0.9150471687316895,0.7797430753707886,0.8849929571151733,0.330565482378006,0.30559808015823364,0.720816969871521,0.5587124824523926
16,0.9493845105171204,0.46418991684913635,0.17433889210224152,1e-07,0.9159165024757385,0.7814700603485107,0.8847838044166565,0.3315874934196472,0.3063305616378784,0.7176132798194885,0.5629028081893921
17,0.9494011402130127,0.46429362893104553,0.17429153621196747,1e-07,0.9158807396888733,0.7816416025161743,0.8847030401229858,0.3319844603538513,0.3066103458404541,0.7164588570594788,0.5644010305404663
18,0.9494218230247498,0.4643913209438324,0.1742459535598755,1e-07,0.9158647656440735,0.781809389591217,0.8846742510795593,0.33215564489364624,0.30671241879463196,0.7160136103630066,0.5650128126144409
19,0.9494578838348389,0.46450263261795044,0.17418035864830017,1e-08,0.9159563183784485,0.7819777131080627,0.8846531510353088,0.3322109878063202,0.3067660629749298,0.7157906889915466,0.5652605295181274
